reference;wholesale_price;price;;;;;;discount
MMCLAMP-WGP-59;10,14;18,43;;;;;;30
MMCLAMP-WGP-65;10,14;18,43;;;;;;30
MMCLAMP-WGP-75;3,53;6,42;;;;;;30
MMCLAMP-WGP-85;3,53;6,42;;;;;;30
MMCLAMP-WGP-95;4,04;7,35;;;;;;30
MMCP-1375SBK;2,66;4,83;;;;;;30
MMCP-1375SBL;2,66;4,83;;;;;;30
MMCP-1590BK;8,67;15,76;;;;;;30
MMCP-1590BL;8,67;15,76;;;;;;30
MMCP-17520BK;3,01;5,47;;;;;;30
MMCP-17520BL;3,01;5,47;;;;;;30
MMCP-175SBK;5,12;9,31;;;;;;30
MMCP-175SBL;5,12;9,31;;;;;;30
MMCP-2.5HPBK;7,92;14,4;;;;;;30
MMCP-2.5HPBL;7,92;14,4;;;;;;30
MMCP-2.5HPPR;8,78;15,97;;;;;;30
MMCP-2.5HPRD;7,92;14,4;;;;;;30
MMCP-20225BK;5,76;10,47;;;;;;30
MMCP-20225BL;5,76;10,47;;;;;;30
MMCP-20225PR;7,07;12,86;;;;;;30
MMCP-20225RD;5,65;10,27;;;;;;30
MMCP-2025BK;6,46;11,75;;;;;;30
MMCP-2025BL;6,46;11,75;;;;;;30
MMCP-2025GN;7,92;14,4;;;;;;30
MMCP-2025PR;7,76;14,11;;;;;;30
MMCP-2025RD;6,46;11,75;;;;;;30
MMCP-2025WH;7,76;14,11;;;;;;30
MMCP-2045RD;17,05;31;;;;;;30
MMCP-2090BK;7,92;14,4;;;;;;30
MMCP-2090BL;7,92;14,4;;;;;;30
MMCP-2090GN;8,78;15,97;;;;;;30
MMCP-2090RD;4,4;8;;;;;;30
MMCP-2090WH;8,78;15,97;;;;;;30
MMCP-22525BK;6,46;11,75;;;;;;30
MMCP-22525BL;6,46;11,75;;;;;;30
MMCP-22525PR;7,92;14,4;;;;;;30
MMCP-22525RD;6,46;11,75;;;;;;30
MMCP-225SBK;3,01;5,47;;;;;;30
MMCP-225SBL;2,95;5,36;;;;;;30
MMCP-225SGN;3,49;6,34;;;;;;30
MMCP-225SRD;3,01;5,47;;;;;;30
MMCP-25125BK;2,9;5,28;;;;;;30
MMCP-25125BL;2,74;4,97;;;;;;30
MMCP-25125RD;2,9;5,28;;;;;;30
MMCP-2515BK;2,9;5,28;;;;;;30
MMCP-2515BL;2,74;4,97;;;;;;30
MMCP-2515WH;2,48;4,5;;;;;;30
MMCP-25275BK;6,46;11,75;;;;;;30
MMCP-25275BL;6,46;11,75;;;;;;30
MMCP-25275GN;7,76;14,11;;;;;;30
MMCP-25275PR;7,76;14,11;;;;;;30
MMCP-25275RD;6,46;11,75;;;;;;30
MMCP-2530BK;6,46;11,75;;;;;;30
MMCP-2530BL;6,46;11,75;;;;;;30
MMCP-2530GN;7,76;14,11;;;;;;30
MMCP-2530PR;7,76;14,11;;;;;;30
MMCP-2530RD;6,34;11,52;;;;;;30
MMCP-2530WH;7,76;14,11;;;;;;30
MMCP-2545BK;14,03;25,5;;;;;;30
MMCP-2545BL;14,03;25,5;;;;;;30
MMCP-2545GN;15,53;28,23;;;;;;30
MMCP-2545PR;15,53;28,23;;;;;;30
MMCP-2545RD;14,03;25,5;;;;;;30
MMCP-2590BK;8,67;15,76;;;;;;30
MMCP-2590BL;8,67;15,76;;;;;;30
MMCP-2590GN;9,49;17,25;;;;;;30
MMCP-2590PR;10,07;18,31;;;;;;30
MMCP-2590RD;8,67;15,76;;;;;;30
MMCP-2590WH;9,49;17,25;;;;;;30
MMCP-25SBK;3,01;5,47;;;;;;30
MMCP-25SBL;3,01;5,47;;;;;;30
MMCP-25SGN;3,56;6,47;;;;;;30
MMCP-25SPR;3,56;6,47;;;;;;30
MMCP-25SRD;3,01;5,47;;;;;;30
MMCP-25SWH;3,56;6,47;;;;;;30
MMCP-27530BK;3,85;7;;;;;;30
MMCP-27590BK;4,31;7,84;;;;;;30
MMCP-27590BL;4,14;7,53;;;;;;30
MMCP-27590PR;5,43;9,87;;;;;;30
MMCP-275SBK;2;3,64;;;;;;30
MMCP-2SBK;2,95;5,36;;;;;;30
MMCP-2SBL;2,95;5,36;;;;;;30
MMCP-2SGN;3,54;6,43;;;;;;30
MMCP-2SPR;3,54;6,43;;;;;;30
MMCP-2SRD;2,95;5,36;;;;;;30
MMCP-2SWH;3,54;6,43;;;;;;30
MMCP-3090BK;12,02;21,86;;;;;;30
MMCP-3090BL;11,33;20,6;;;;;;30
MMCP-3090GN;9,35;17;;;;;;30
MMCP-3090PR;13,69;24,9;;;;;;30
MMCP-3090RD;11,33;20,6;;;;;;30
MMCP-3090WH;13,69;24,9;;;;;;30
MMCP-30SBK;3,01;5,47;;;;;;30
MMCP-30SBL;3,01;5,47;;;;;;30
MMCP-30SGN;4,4;8;;;;;;30
MMCP-30SPR;3,56;6,47;;;;;;30
MMCP-30SRD;3,01;5,47;;;;;;30
MMCP-30SWH;3,49;6,34;;;;;;30
MMCP-35SBK;2,83;5,15;;;;;;30
MMCP-35SBL;2,83;5,15;;;;;;30
MMCP-35SRD;2,83;5,15;;;;;;30
MMCP-8751125BK;3,56;6,47;;;;;;30
MMCP-R45-17525BK;16,89;30,71;;;;;;30
MMCP-R45-17525BL;16,89;30,71;;;;;;30
MMCP-R45-17525RD;16,89;30,71;;;;;;30
MMCP-R45-20225BK;17,42;31,68;;;;;;30
MMCP-R45-20225BL;17,42;31,68;;;;;;30
MMCP-R45-20225RD;17,42;31,68;;;;;;30
MMCP-R45-2025BK;18,47;33,59;;;;;;30
MMCP-R45-2025BL;18,47;33,59;;;;;;30
MMCP-R45-2025RD;18,47;33,59;;;;;;30
MMCP-R45-2030BK;18,47;33,59;;;;;;30
MMCP-R45-2030BL;18,47;33,59;;;;;;30
MMCP-R45-2030RD;18,47;33,59;;;;;;30
MMCP-R45-22525BK;18,47;33,59;;;;;;30
MMCP-R45-22525BL;18,47;33,59;;;;;;30
MMCP-R45-22525RD;18,47;33,59;;;;;;30
MMCP-R45-22530BK;19,01;34,56;;;;;;30
MMCP-R45-22530BL;19,01;34,56;;;;;;30
MMCP-R45-22530RD;19,01;34,56;;;;;;30
MMCP-R45-25275BK;20,59;37,44;;;;;;30
MMCP-R45-25275BL;20,59;37,44;;;;;;30
MMCP-R45-25275RD;20,59;37,44;;;;;;30
MMCP-R45-2530BK;21,12;38,4;;;;;;30
MMCP-R45-2530BL;21,12;38,4;;;;;;30
