reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
GSM74-81SS2;345;460;460;414;552;;;15
GSM74-91SS2;390;520;520;468;624;;;15
VSM74-C1SA3;502,5;670;670;603;804;;;15
SKM74-S3B00;98;140;140;117,6;168;;;20
GSMD0-9USS2;390;520;520;468;624;;;15
VSMD0-CUSA3;502,5;670;670;603;804;;;15
GSMD0-71SS3;825;1100;1100;990;1320;;;15
VSMC6-K1LS3;975;1300;1300;1170;1560;;;15
GSMD0-8USS2;345;460;460;414;552;;;15
SKMD0-AUB00;98;140;140;117,6;168;;;20
SKMD0-S3B00;98;140;140;117,6;168;;;20
SKMD6-AUB00;98;140;140;117,6;168;;;20
SKMD6-S3B00;98;140;140;117,6;168;;;20
SKM62-S3B00;98;140;140;117,6;168;;;20
GSM32-71SS3;825;1100;1100;990;1320;;;15
VSM32-C1SA3;502,5;670;670;603;804;;;15
GSM32-9USS2;390;520;520;468;624;;;15
SKM50-S3B00;119;170;170;142,8;204;;;20
GSM56-71SS3;825;1100;1100;990;1320;;;15
GSM56-81SS2;330;440;440;396;528;;;15
VSM56-K1LS3;975;1300;1300;1170;1560;;;15
VSM58-C1SA3;510;680;680;612;816;;;15
SKM58-AVB00;91;130;130;109,2;156;;;20
VSAAA-B1DS3;336;560;560;403,2;672;;;30
VSMB2-A1DS2;228;380;380;273,6;456;;;30
VSMB2-B1DS3;336;560;560;403,2;672;;;30
VSM90-A1DS2;228;380;380;273,6;456;;;30
VSM24-A1DS2;228;380;380;273,6;456;;;30
VSM24-B1DS3;324;540;540;388,8;648;;;30
VSM98-A1DS2;228;380;380;273,6;456;;;30
VSM98-B1DS3;324;540;540;388,8;648;;;30
VSMA8-B1DS3;336;560;560;403,2;672;;;30
VSM68-A1DS2;210;350;350;252;420;;;30
VSM94-A1DS2;210;350;350;252;420;;;30
VSM94-B1DS2;252;420;420;302,4;504;;;30
VSMB0-B1DS3;336;560;560;403,2;672;;;30
VSM64-A1DS2;216;360;360;259,2;432;;;30
VSM64-B1DS2;252;420;420;302,4;504;;;30
VSM44-A1DS2;216;360;360;259,2;432;;;30
VSM44-B1DS2;252;420;420;302,4;504;;;30
VSM74-A1DS2;216;360;360;259,2;432;;;30
VSM74-B1DS2;252;420;420;302,4;504;;;30
VSM56-A1DS2;216;360;360;259,2;432;;;30
VSM56-B1DS2;252;420;420;302,4;504;;;30
VSGJ4-A1DS2;240;400;400;288;480;;;30
VSGJ4-B1DS2;276;460;460;331,2;552;;;30
VSGN0-A1DS2;240;400;400;288;480;;;30
VSGN0-B1DS2;276;460;460;331,2;552;;;30
VSGG4-A1DS2;270;450;450;324;540;;;30
VSGG4-B1DS2;306;510;510;367,2;612;;;30
VSGF2-A1DS2;240;400;400;288;480;;;30
VSGF2-B1DS3;330;550;550;396;660;;;30
VSGM8-A1DS2;270;450;450;324;540;;;30
VSGM8-B1DS2;306;510;510;367,2;612;;;30
VSGG2-A1DS2;240;400;400;288;480;;;30
VSGG2-B1DS3;330;550;550;396;660;;;30
VSGK2-A1DS2;270;450;450;324;540;;;30
VSGS2-A1DS2;240;400;400;288;480;;;30
VSGJ2-B1DS2;336;560;560;403,2;672;;;30
VSGR2-B1DS2;336;560;560;403,2;672;;;30
GSGN0-91AA2;375;500;500;450;600;;;15
SKG00-S3B00;112;160;160;134,4;192;;;20
GSGF2-91AS3;495;660;660;594;792;;;15
SKGF2-S3B00;112;160;160;134,4;192;;;20
SKGF2-S5B00;112;160;160;134,4;192;;;20
VSGF2-C1AS3;615;820;820;738;984;;;15
GSGG2-91AS3;495;660;660;594;792;;;15
SKGG2-S3B00;126;180;180;151,2;216;;;20
SKGG2-S5B00;126;180;180;151,2;216;;;20
VSGG2-C1AA3;615;820;820;738;984;;;15
VSAMS-B1DS2;306;510;510;367,2;612;;;30
VSAJJ-B1DS2;306;510;510;367,2;612;;;30
SKGH2-S3B00;119;170;170;142,8;204;;;20
GSGH2-91AS3;450;600;600;540;720;;;15
SKGH2-S5B00;119;170;170;142,8;204;;;20
GSG74-91SS2;420;560;560;504;672;;;15
SKG74-AUB00;84;120;120;100,8;144;;;20
SKG74-S3B00;84;120;120;100,8;144;;;20
SKG74-S5B00;115,5;165;165;138,6;198;;;20
GSV70-91SS2;420;560;560;504;672;;;15
SKV70-S3B00;129,5;185;185;155,4;222;;;20
SKV70-S5B00;129,5;185;185;155,4;222;;;20
VSF68-G1AS2;450;600;600;540;720;;;15
VSF68-A1DS2;240;400;400;288;480;;;30
VSGH2-A1DS2;228;380;380;273,6;456;;;30
VSGH2-B1DS3;318;530;530;381,6;636;;;30
VSG74-A1DS2;240;400;400;288;480;;;30
VSG74-B1DS2;276;460;460;331,2;552;;;30
VSV70-A1DS2;240;400;400;288;480;;;30
VSV70-B1DS2;276;460;460;331,2;552;;;30
SKR00-AVB00;112;160;160;134,4;192;;;20
VSR74-C1SA4;600;800;800;720;960;;;15
VSE10-C1AA1;562,5;750;750;675;900;;;15
VSE10-C1AS1;562,5;750;750;675;900;;;15
GSR56-8USS2;360;480;480;432;576;;;15
VSR42-D1SS3;712,5;950;950;855;1140;;;15
GSE20-81SS2;367,5;490;490;441;588;;;15
SKE20-G1B00;119;170;170;142,8;204;;;20
VSE20-C1SA4;532,5;710;710;639;852;;;15
SKE32-G1B00;112;160;160;134,4;192;;;20
SKE32-S3B00;112;160;160;134,4;192;;;20
GSR10-71SS4;975;1300;1300;1170;1560;;;15
GSR10-91SS2;420;560;560;504;672;;;15
VSR10-C1SA4;532,5;710;710;639;852;;;15
SKR38-AVB00;91;130;130;109,2;156;;;20
SKR38-S3B00;91;130;130;109,2;156;;;20
GSR52-71SS4;975;1300;1300;1170;1560;;;15
GSR52-8USS2;367,5;490;490;441;588;;;15
VSR52-K1LS4;1200;1600;1600;1440;1920;;;15
VSR84-C1SA4;532,5;710;710;639;852;;;15
DSR52-W1LS2;1125;1500;1500;1350;1800;;;15
DSR84-81LS1;2175;2900;2900;2610;3480;;;15
GSR52-91SS2;420;560;560;504;672;;;15
SKR52-AVB00;98;140;140;117,6;168;;;20
GSE18-71SS4;975;1300;1300;1170;1560;;;15
VSE18-C1SA4;532,5;710;710;639;852;;;15
VSE18-C1SS4;532,5;710;710;639;852;;;15
VSE18-K1LS4;1200;1600;1600;1440;1920;;;15
SKE18-AVB00;112;160;160;134,4;192;;;20
SKE18-S3B00;112;160;160;134,4;192;;;20
VSE48-F1SS2;450;750;750;540;900;;;30
VSE50-F1SS2;408;680;680;489,6;816;;;30
VSE20-A1DS2;240;400;400;288;480;;;30
VSE20-B1DS2;276;460;460;331,2;552;;;30
VSE32-A1DS2;240;400;400;288;480;;;30
VSE32-B1DS2;276;460;460;331,2;552;;;30
VSR52-A1DS2;264;440;440;316,8;528;;;30
VSR52-B1DS2;300;500;500;360;600;;;30
VSE18-A1DS2;270;450;450;324;540;;;30
VSE18-B1DS2;306;510;510;367,2;612;;;30
VSR98-A1DS2;240;400;400;288;480;;;30
VSR98-B1DS2;276;460;460;331,2;552;;;30
VSRA4-A1DS2;204;340;340;244,8;408;;;30
VSRA4-B1DS2;240;400;400;288;480;;;30
VSE38-A1DS2;204;340;340;244,8;408;;;30
VSE50-A1DS2;204;340;340;244,8;408;;;30
VSE04-A1DS2;204;340;340;244,8;408;;;30
GSN20-71SS4;975;1300;1300;1170;1560;;;15
VSN20-C1SA4;532,5;710;710;639;852;;;15
VSN20-C1SS4;532,5;710;710;639;852;;;15
VSN20-K1LS4;1200;1600;1600;1440;1920;;;15
GSN20-D1SS1;727,5;970;970;873;1164;;;15
GSP04-8USS2;367,5;490;490;441;588;;;15
SKN20-AVB00;91;130;130;109,2;156;;;20
GSN66-D1SS1;727,5;970;970;873;1164;;;15
GSP06-8USS2;367,5;490;490;441;588;;;15
VSK82-C1SA4;532,5;710;710;639;852;;;15
VSK82-C1SS4;532,5;710;710;639;852;;;15
GSN52-71SS4;975;1300;1300;1170;1560;;;15
GSN52-D1SS1;727,5;970;970;873;1164;;;15
VSK70-C1SA4;532,5;710;710;639;852;;;15
SKP06-S3B00;126;180;180;151,2;216;;;20
GSN22-91SS2;375;500;500;450;600;;;15
VSN22-C1SA3;502,5;670;670;603;804;;;15
SKP46-AUB00;91;130;130;109,2;156;;;20
SKP46-S3B00;91;130;130;109,2;156;;;20
SKP24-AVB00;105;150;150;126;180;;;20
GSP32-81AS2;450;600;600;540;720;;;15
GSK06-81AS2;405;540;540;486;648;;;15
SKK06-G1B00;105;150;150;126;180;;;20
GSP12-81AS2;427,5;570;570;513;684;;;15
VSP12-C1AA3;562,5;750;750;675;900;;;15
VSK24-C1AS3;637,5;850;850;765;1020;;;15
SKK04-C3B00;133;190;190;159,6;228;;;20
DSK00-81LS1;2400;3200;3200;2880;3840;;;15
GSK00-71SS3;1050;1400;1400;1260;1680;;;15
VSK00-K1LS3;1425;1900;1900;1710;2280;;;15
SKK00-S3B00;140;200;200;168;240;;;20
GSK22-91AS2;420;560;560;504;672;;;15
SKK22-C3B00;112;160;160;134,4;192;;;20
SKK22-G1B00;112;160;160;134,4;192;;;20
GSK22-9VAS2;420;560;560;504;672;;;15
GSK32-81AS2;405;540;540;486;648;;;15
SKK32-G1B00;98;140;140;117,6;168;;;20
VSK86-F1SS2;450;750;750;540;900;;;30
GSN14-71SS3;825;1100;1100;990;1320;;;15
GSN14-91SS2;390;520;520;468;624;;;15
