reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
GSHA6-81AS2;390;520;520;468;624;;;0,15
SKHA6-G1B00;112;160;160;134,4;192;;;0,2
SKHA6-S3B00;112;160;160;134,4;192;;;0,2
VSHA6-C1AS2;562,5;750;750;675;900;;;0,15
GSA94-81AS2;405;540;540;486;648;;;0,15
VSA94-C1AS3;547,5;730;730;657;876;;;0,15
VSA04-C1AS2;562,5;750;750;675;900;;;0,15
GSB80-81AS2;390;520;520;468;624;;;0,15
GSB80-91AS2;420;560;560;504;672;;;0,15
GSHB2-81AA2;345;460;460;414;552;;;0,15
GSHB2-91AA2;375;500;500;450;600;;;0,15
VSB80-C1AS2;562,5;750;750;675;900;;;0,15
VSHB2-C1AA2;562,5;750;750;675;900;;;0,15
SKB74-S5B00;98;140;140;117,6;168;;;0,2
SKB36-S3B00;98;140;140;117,6;168;;;0,2
GSHD8-81AS2;390;520;520;468;624;;;0,15
VSHD8-C1AA2;562,5;750;750;675;900;;;0,15
VSHD8-C1AS2;562,5;750;750;675;900;;;0,15
GSA02-71SS1;1050;1400;1400;1260;1680;;;0,15
GSA70-81SS2;360;480;480;432;576;;;0,15
SKA62-C3B00;112;160;160;134,4;192;;;0,2
VSA70-C1SA3;502,5;670;670;603;804;;;0,15
GSH92-8USS2;345;460;460;414;552;;;0,15
GSH92-9USS2;390;520;520;468;624;;;0,15
VSH92-C1SA3;502,5;670;670;603;804;;;0,15
SKA30-S3B00;105;150;150;126;180;;;0,2
DSH64-81LS1;1875;2500;2500;2250;3000;;;0,15
GSH64-71SS3;825;1100;1100;990;1320;;;0,15
VSH64-C1SS3;502,5;670;670;603;804;;;0,15
VSH64-K1LS3;975;1300;1300;1170;1560;;;0,15
SKA58-AVB00;91;130;130;109,2;156;;;0,2
GSB18-81AS2;457,5;610;610;549;732;;;0,15
GSB98-81AS2;457,5;610;610;549;732;;;0,15
VSB98-C1AS3;577,5;770;770;693;924;;;0,15
VSA50-A1DS2;216;360;360;259,2;432;;;0,3
VSA50-B1DS2;252;420;420;302,4;504;;;0,3
VSA00-B1DS2;252;420;420;302,4;504;;;0,3
VSH98-A1DS2;216;360;360;259,2;432;;;0,3
VSH98-B1DS2;252;420;420;302,4;504;;;0,3
VSA22-A1DS2;258;430;430;309,6;516;;;0,3
VSA22-B1DS2;294;490;490;352,8;588;;;0,3
VSA84-A1DS2;276;460;460;331,2;552;;;0,3
VSA84-B1DS2;312;520;520;374,4;624;;;0,3
VSHH6-A1DS2;228;380;380;273,6;456;;;0,3
VSHH6-B1DS2;264;440;440;316,8;528;;;0,3
VSHH8-A1DS2;228;380;380;273,6;456;;;0,3
VSHH8-B1DS2;264;440;440;316,8;528;;;0,3
VSB64-A1DS2;240;400;400;288;480;;;0,3
VSB64-B1DS2;276;460;460;331,2;552;;;0,3
VSHD0-A1DS2;240;400;400;288;480;;;0,3
VSHD0-B1DS2;276;460;460;331,2;552;;;0,3
VSHA6-A1DS2;228;380;380;273,6;456;;;0,3
VSHA6-B1DS2;264;440;440;316,8;528;;;0,3
VSHJ6-A1DS2;228;380;380;273,6;456;;;0,3
VSHJ6-B1DS2;264;440;440;316,8;528;;;0,3
VSA04-A1DS2;228;380;380;273,6;456;;;0,3
VSA04-B1DS2;264;440;440;316,8;528;;;0,3
VSB80-A1DS2;228;380;380;273,6;456;;;0,3
VSB80-B1DS2;264;440;440;316,8;528;;;0,3
VSHD8-A1DS2;228;380;380;273,6;456;;;0,3
VSHD8-B1DS2;264;440;440;316,8;528;;;0,3
VSF42-B1DS2;264;440;440;316,8;528;;;0,3
GSP24-71AS3;877,5;1170;1170;1053;1404;;;0,15
GSP26-8UAS2;375;500;500;450;600;;;0,15
VSP24-C1AA3;547,5;730;730;657;876;;;0,15
VSP24-K1NS3;1087,5;1450;1450;1305;1740;;;0,15
GSP92-71AS3;877,5;1170;1170;1053;1404;;;0,15
GSP92-8UAS2;375;500;500;450;600;;;0,15
VSK04-K1NS3;1087,5;1450;1450;1305;1740;;;0,15
VSP92-C1AA3;547,5;730;730;657;876;;;0,15
VSP08-A1DS2;216;360;360;259,2;432;;;0,3
VSP08-B1DS2;252;420;420;302,4;504;;;0,3
VSI06-F1SS2;408;680;680;489,6;816;;;0,3
VSAAS-F1SS2;408;680;680;489,6;816;;;0,3
VSI04-A1DS2;222;370;370;266,4;444;;;0,3
VSI06-A1DS2;204;340;340;244,8;408;;;0,3
GSGQ4-91AS2;427,5;570;570;513;684;;;0,15
VSGJ0-G1AS2;570;760;760;684;912;;;0,15
VSGJ0-B1DS2;336;560;560;403,2;672;;;0,3
SKTB2-S3B00;154;220;220;184,8;264;;;0,2
VSQ62-C1AA3;547,5;730;730;657;876;;;0,15
VSQ62-C1AS3;547,5;730;730;657;876;;;0,15
VSQ62-J1AS3;982,5;1310;1310;1179;1572;;;0,15
GSL90-9USS2;390;520;520;468;624;;;0,15
SKL78-AUB00;105;150;150;126;180;;;0,2
SKL78-S3B00;105;150;150;126;180;;;0,2
VSC76-C1SA3;502,5;670;670;603;804;;;0,15
VSC76-J1SS3;960;1280;1280;1152;1536;;;0,15
GST76-81SS2;345;460;460;414;552;;;0,15
GST76-91SS2;390;520;520;468;624;;;0,15
SKY98-AUB00;119;170;170;142,8;204;;;0,2
SKY98-S3B00;119;170;170;142,8;204;;;0,2
VST76-C1SA3;502,5;670;670;603;804;;;0,15
VST76-C1SS3;502,5;670;670;603;804;;;0,15
GSQ22-81SS2;345;460;460;414;552;;;0,15
GSQ22-91SS2;390;520;520;468;624;;;0,15
VSQ22-C1SA3;502,5;670;670;603;804;;;0,15
SKC72-BUB00;112;160;160;134,4;192;;;0,2
SKC72-C3B00;112;160;160;134,4;192;;;0,2
GSY20-71SS3;825;1100;1100;990;1320;;;0,15
GSY20-81SS2;345;460;460;414;552;;;0,15
GSY20-91SS2;390;520;520;468;624;;;0,15
VSY20-C1SA3;502,5;670;670;603;804;;;0,15
VSY20-C1SS3;502,5;670;670;603;804;;;0,15
GSQ74-71AS3;877,5;1170;1170;1053;1404;;;0,15
GSQ74-91AS2;427,5;570;570;513;684;;;0,15
SKQ74-AUB00;112;160;160;134,4;192;;;0,2
SKQ74-S3B00;112;160;160;134,4;192;;;0,2
VSQ74-C1AS3;547,5;730;730;657;876;;;0,15
VSQ74-J1AS3;982,5;1310;1310;1179;1572;;;0,15
SKL90-AUB00;119;170;170;142,8;204;;;0,2
SKL90-S3B00;119;170;170;142,8;204;;;0,2
SKY94-S3B00;105;150;150;126;180;;;0,2
SKTE6-AUB00;84;120;120;100,8;144;;;0,2
SKTE6-S3B00;84;120;120;100,8;144;;;0,2
VSY66-C1SA3;480;640;640;576;768;;;0,15
VSY66-C1SS3;480;640;640;576;768;;;0,15
GST60-71SS3;825;1100;1100;990;1320;;;0,15
GST60-81SS2;345;460;460;414;552;;;0,15
GST60-91SS2;390;520;520;468;624;;;0,15
VST60-C1SA3;502,5;670;670;603;804;;;0,15
VST60-C1SS3;502,5;670;670;603;804;;;0,15
VSQ36-A1DS2;240;400;400;288;480;;;0,3
VSQ36-B1DS2;276;460;460;331,2;552;;;0,3
VSY98-A1DS2;216;360;360;259,2;432;;;0,3
VSY98-B1DS2;252;420;420;302,4;504;;;0,3
VSL90-A1DS2;216;360;360;259,2;432;;;0,3
VSL90-B1DS2;252;420;420;302,4;504;;;0,3
VSAGA-B1DS2;252;420;420;302,4;504;;;0,3
VSQ06-B1DS2;306;510;510;367,2;612;;;0,3
GSMB0-91AS3;450;600;600;540;720;;;0,15
