SKU,Name,Category,Market,Weight,Height,Width,Length,Barcode,Price EU RRP,Your Cost
MMAI-G80-21,2021+ BMW G8X M3/M4 Performance Intake,Air Intake Kits & Components,European,62.46,18,18,32,840197707869,768.86,422.87
MMAI-G80-21CFG,"2021+ BMW G8X M3/M4 Performance Intake, Carbon Fiber, Gloss",Air Intake Kits & Components,European,43.37,15,15,32,840197712146,1847.00,1015.85
MMAI-G80-21CFM,"2021+ BMW G8X M3/M4 Performance Intake, Carbon Fiber, Matte",Air Intake Kits & Components,European,43.37,15,15,32,840197712139,1847.00,1015.85
MMAI-G80-21H,"2021+ BMW G8X M3/M4 Performance Intake, Heatshield Design",Air Intake Kits & Components,European,43.37,15,15,32,840197718391,646.00,355.30
MMAI-MIA-16P,"Mazda Miata Air Intake Kit, 2016+, Polished",Air Intake Kits & Components,Sport Compact,23.13,10,16,24,748354025965,487.50,268.13
MMAI-MIA-16WBK,"Mazda Miata Air Intake Kit, 2016+, Wrinkle Black",Air Intake Kits & Components,Sport Compact,23.13,10,16,24,748354025972,487.50,268.13
MMAI-MIA-16WRD,"Mazda Miata Air Intake Kit, 2016+, Wrinkle Red",Air Intake Kits & Components,Sport Compact,23.13,10,16,24,748354025989,487.50,268.13
MMAI-MIN-14P,"Mini Cooper S Air Intake Kit, 2014+, Polished",Air Intake Kits & Components,European,23.13,10,16,24,748354027044,284.92,156.71
MMAI-MIN-14WBK,"Mini Cooper S Air Intake Kit, 2014+, Wrinkle Black",Air Intake Kits & Components,European,23.13,10,16,24,748354027051,284.92,156.71
MMAI-MIN-14WRD,"Mini Cooper S Air Intake Kit, 2014+, Wrinkle Red",Air Intake Kits & Components,European,23.13,10,16,24,748354027068,284.92,156.71
MMAI-MK7-15P,"Volkswagen GTI Air Intake Kit, 2015+, Polished",Air Intake Kits & Components,European,19.28,10,16,20,748354027419,313.32,172.33
MMAI-MK7-15WBK,"Volkswagen GTI Air Intake Kit, 2015+, Wrinkle Black",Air Intake Kits & Components,European,23.13,10,16,24,748354027426,313.32,172.33
MMAI-MK7-15WRD,"Volkswagen GTI Air Intake Kit, 2015+, Wrinkle Red",Air Intake Kits & Components,European,23.13,10,16,24,748354027433,313.32,172.33
MMAI-MK7-15X,2015+ VW GTI/TSI/R / 2015+ Audi A3 Performance Air Intake,Air Intake Kits & Components,European,37.01,12,16,32,840197706046,460.69,253.38
MMAI-MK7-TI,2015+ Volkswagen GTI/TSI/R / 2015+ Audi A3 Turbo Inlet Pipe,Air Intake Kits & Components,European,1.77,6,7,7,840197706381,143.58,78.97
MMAI-MUS4-15P,"2015-2017 Ford Mustang Ecoboost Air Intake, Polished",Air Intake Kits & Components,Modern Muscle,54.65,18,18,28,748354018943,351.19,193.15
MMAI-MUS4-15WBK,"2015-2017 Ford Mustang Ecoboost Air Intake, Wrinkle Black",Air Intake Kits & Components,Modern Muscle,54.65,18,18,28,748354018950,351.19,193.15
MMAI-MUS8-15BK,"2015-2017 Ford Mustang GT Performance Air Intake, Black",Air Intake Kits & Components,Modern Muscle,23.13,10,16,24,748354034561,341.72,187.95
