reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VWR810004;98,28;163,8;163,8;122,85;204,75;;;30
VWR810005;85,18;141,96;141,96;106,47;177,45;;;30
VWR810006;137,59;229,32;229,32;171,99;286,65;;;30
VWR810009;27,52;45,86;45,86;34,4;57,33;;;30
VWR8130S3;218,84;364,73;364,73;273,55;455,91;;;30
VWR8130S3-SEDAN;218,84;364,73;364,73;273,55;455,91;;;30
VWR814100;212,94;354,9;354,9;266,18;443,63;;;30
VWR81G700;218,84;364,73;364,73;273,55;455,91;;;30
VWR81G7-HARDWARE;11,14;18,56;18,56;13,93;23,21;;;30
VWR800000;4,91;8,19;8,19;6,14;10,24;;;30
VWR800001;4,91;8,19;8,19;6,14;10,24;;;30
VWR800004;4,91;8,19;8,19;6,14;10,24;;;30
VWR800002;4,91;8,19;8,19;6,14;10,24;;;30
VWR800003;4,91;8,19;8,19;6,14;10,24;;;30
VWR800001-BLK;22,93;38,22;38,22;28,66;47,78;;;30
VWR800001-SVR;22,93;38,22;38,22;28,66;47,78;;;30
VWR800002-BLK;26,26;40,4;40,4;32,83;50,51;;;25
VWR800002-SVR;26,26;40,4;40,4;32,83;50,51;;;25
VWR150000;54,59;90,98;90,98;68,24;113,73;;;30
VWR150001;163,79;272,99;272,99;204,74;341,24;;;30
VWR150002;175,27;233,69;233,69;219,08;292,11;;;15
VWR150003;50,39;83,99;83,99;62,99;104,99;;;30
VWR150004;50,39;83,99;83,99;62,99;104,99;;;30
VWR15G501;175,27;233,69;233,69;219,08;292,11;;;15
VWR15G502;175,27;233,69;233,69;219,08;292,11;;;15
VWR15G503;121,54;173,63;173,63;151,93;217,04;;;20
VWR15G503-RACE;121,54;173,63;173,63;151,93;217,04;;;20
VWR15G701;262,08;349,44;349,44;327,6;436,8;;;15
VWR15G702;245,7;327,6;327,6;307,13;409,5;;;15
VWR15G703;163,8;218,4;218,4;204,75;273;;;15
VWR29G7250;343,98;573,3;573,3;429,98;716,63;;;30
VWR29DQ381;359,7;599,51;599,51;449,63;749,39;;;30
VWR600007;720,06;1200,11;1200,11;900,08;1500,14;;;30
VWR610007;198,02;330,03;330,03;247,52;412,53;;;30
VWR600360BLK;720,06;1200,11;1200,11;900,08;1500,14;;;30
VWR600360GUN;720,06;1200,11;1200,11;900,08;1500,14;;;30
VWR600360SVR;720,06;1200,11;1200,11;900,08;1500,14;;;30
VWR610360BLK;198,02;330,03;330,03;247,52;412,53;;;30
VWR610360GUN;198,02;330,03;330,03;247,52;412,53;;;30
VWR610360SVR;198,02;330,03;330,03;247,52;412,53;;;30
VWR630000;78,62;131,04;131,04;98,28;163,8;;;30
VWR630001;78,62;131,04;131,04;98,28;163,8;;;30
VWR630002;78,62;131,04;131,04;98,28;163,8;;;30
VWR630003;78,62;131,04;131,04;98,28;163,8;;;30
VWR630007;2,62;4,37;4,37;3,27;5,46;;;30
VWR630008;2,62;4,37;4,37;3,27;5,46;;;30
VWR630009;1,31;2,18;2,18;1,64;2,73;;;30
VWR630010;1,31;2,18;2,18;1,64;2,73;;;30
VWR630100;10,75;18;18;13,44;22,5;;;30
VWR630137;1,2;2;2;1,5;2,5;;;30
VWR630139;1,2;2;2;1,5;2,5;;;30
VWR630142;1,2;2;2;1,5;2,5;;;30
VWR630147;1,2;2;2;1,5;2,5;;;30
VWR630237;1,2;2;2;1,5;2,5;;;30
VWR630239;1,2;2;2;1,5;2,5;;;30
VWR630242;1,2;2;2;1,5;2,5;;;30
VWR630247;1,2;2;2;1,5;2,5;;;30
VWR640012;42,53;69,99;69,99;53,17;87,49;;;29
VWR640015;45,17;74,99;74,99;56,46;93,74;;;30
VWR640017;48,36;79,99;79,99;60,45;99,99;;;30
VWR640020;51,36;84,99;84,99;64,2;106,24;;;30
VWR640112;42,53;69,99;69,99;53,17;87,49;;;29
VWR640115;45,17;74,99;74,99;56,46;93,74;;;30
VWR640117;48,36;79,99;79,99;60,45;99,99;;;30
VWR640120;51,36;84,99;84,99;64,2;106,24;;;30
VWR699999;6,55;10,92;10,92;8,19;13,65;;;30
VWR030000-F3RSQ3;373,78;622,96;622,96;467,22;778,7;;;30
VWR030000-F3RSQ3OPF;373,78;622,96;622,96;467,22;778,7;;;30
VWR030000-IS20;373,78;622,96;622,96;467,22;778,7;;;30
VWR030000-IS38;373,78;622,96;622,96;467,22;778,7;;;30
VWR030000-IS20-E;373,78;622,96;622,96;467,22;778,7;;;30
VWR030000-IS38-E;373,78;622,96;622,96;467,22;778,7;;;30
VWR030001-GAR;373,78;622,96;622,96;467,22;778,7;;;30
VWR030001-CONT;373,78;622,96;622,96;467,22;778,7;;;30
VWR030001-GAR-R;373,78;622,96;622,96;467,22;778,7;;;30
VWR030001-CONT-R;373,78;622,96;622,96;467,22;778,7;;;30
VWR030001-RS38YOPF;373,78;622,96;622,96;467,22;778,7;;;30
VWR030001-RS38Y;373,78;622,96;622,96;467,22;778,7;;;30
VWR030002-115E;373,78;622,96;622,96;467,22;778,7;;;30
VWR030002-150E;373,78;622,96;622,96;467,22;778,7;;;30
VWR030002-200E;373,78;622,96;622,96;467,22;778,7;;;30
VWRA001S;16,38;21,84;21,84;20,48;27,3;;;15
VWRA001M;16,38;21,84;21,84;20,48;27,3;;;15
VWRA001L;16,38;21,84;21,84;20,48;27,3;;;15
VWRA001XL;16,38;21,84;21,84;20,48;27,3;;;15
VWRA001XXL;16,38;21,84;21,84;20,48;27,3;;;15
VWRA002S;30,71;40,95;40,95;38,39;51,19;;;15
VWRA002M;30,71;40,95;40,95;38,39;51,19;;;15
VWRA002L;30,71;40,95;40,95;38,39;51,19;;;15
VWRA002XL;30,71;40,95;40,95;38,39;51,19;;;15
VWRA002XXL;30,71;40,95;40,95;38,39;51,19;;;15
VWRA003S;30,71;40,95;40,95;38,39;51,19;;;15
VWRA003M;30,71;40,95;40,95;38,39;51,19;;;15
VWRA003L;30,71;40,95;40,95;38,39;51,19;;;15
VWRA003XL;30,71;40,95;40,95;38,39;51,19;;;15
VWRA003XXL;30,71;40,95;40,95;38,39;51,19;;;15
VWRA004S;30,71;40,95;40,95;38,39;51,19;;;15
VWRA004M;30,71;40,95;40,95;38,39;51,19;;;15
VWRA004L;30,71;40,95;40,95;38,39;51,19;;;15
VWRA004XL;30,71;40,95;40,95;38,39;51,19;;;15
VWRA004XXL;30,71;40,95;40,95;38,39;51,19;;;15
VWRA10000;4,91;6,55;6,55;6,14;8,19;;;15
