reference;wholesale_price;price;;
E-ME/SS/1;705,495;940,66;;
E-ME/SS/1;705,495;940,66;;
S-ME/TI/11;2903,0175;3870,69;;
S-ME/TI/13H;3621,9375;4829,25;;
DP-ME/SS/3;1669,9575;2226,61;;
P-HF1296;315,4125;420,55;;
L-ME/SS/3;509,025;678,7;;
DP-ME/SS/3;1669,9575;2226,61;;
S-ME/TI/13H;3621,9375;4829,25;;
L-ME/SS/3;509,025;678,7;;
P-HF1296;315,4125;420,55;;
DP-ME/SS/3/1;1768,1925;2357,59;;
P-HF949;295,4175;393,89;;
E-ME/T/3;1512,0675;2016,09;;
P-HF985;532,875;710,5;;
MTP-ME/T/3H;4019,2575;5359,01;;
P-HF985;532,875;710,5;;
MTP-ME/T/2H/1;4019,2575;5359,01;;
E-ME/T/3;1512,0675;2016,09;;
P-HF949;295,4175;393,89;;
P-HF949;295,4175;393,89;;
E-ME/T/3;1512,0675;2016,09;;
P-HF985;532,875;710,5;;
MTP-ME/T/2H/1;4019,2575;5359,01;;
E-ME/SS/1;705,495;940,66;;
S-ME/TI/10H;3019,275;4025,7;;
S-ME/TI/10H;3019,275;4025,7;;
E-ME/SS/1;705,495;940,66;;
DP-ME/SS/3;1669,9575;2226,61;;
S-ME/TI/12H;3621,9375;4829,25;;
P-HF1296;315,4125;420,55;;
L-ME/SS/3;509,025;678,7;;
DP-ME/SS/3;1669,9575;2226,61;;
S-ME/TI/12H;3621,9375;4829,25;;
L-ME/SS/3;509,025;678,7;;
P-HF1296;315,4125;420,55;;
DP-ME/SS/3/1;1768,1925;2357,59;;
S-ME/TI/1H/1;7271,1825;9694,91;;
P-HF1044;313,29;417,72;;
TP-CT/46/M;955,5375;1274,05;;
TP-CT/46/G;991,9425;1322,59;;
MTP-ME/T/5H;3660,21;4880,28;;
E-ME/T/5;1687,8225;2250,43;;
P-HF1129;440,0775;586,77;;
S-ME/TI/2H;6932,7675;9243,69;;
P-HF841/2;112,5975;150,13;;
P-HF1225;36,2175;48,29;;
S-ME/TI/5/1;6440,85;8587,8;;
S-ME/TI/5/1;6440,85;8587,8;;
P-HF1225;36,2175;48,29;;
S-ME/TI/17;6440,85;8587,8;;
P-HF841/2;112,5975;150,13;;
S-ME/TI/2H;6932,7675;9243,69;;
S-ME/TI/5/1;6440,85;8587,8;;
S-ME/TI/4/1;6440,85;8587,8;;
L-ME/SS/3;509,025;678,7;;
S-ME/TI/13H;3621,9375;4829,25;;
DP-ME/SS/3;1669,9575;2226,61;;
P-HF1296;315,4125;420,55;;
L-ME/SS/3;509,025;678,7;;
S-ME/TI/13H;3621,9375;4829,25;;
P-HF1296;315,4125;420,55;;
DP-ME/SS/3/1;1768,1925;2357,59;;
S-ME/TI/16H;6262,5;8350;;
P-HF1411;352,7475;470,33;;
S-ME/TI/16H/1;6412,5;8550;;
P-HF1411;352,7475;470,33;;
S-ME/TI/14H/1;6412,5;8550;;
S-ME/TI/15H/1;6641,25;8855;;
P-HF1411;352,7475;470,33;;
P-HF1044;313,29;417,72;;
S-ME/TI/1H/1;7271,1825;9694,91;;
ME-MIN/TI/1H;849,6525;1132,87;;
DP-MINR56/57;794,7975;1059,73;;
TP-MINR56/57-CA;436,14;581,52;;
TP-MINR56/57-CA;436,14;581,52;;
DP-MINR56/57;794,7975;1059,73;;
ME-MIN/TI/1H;849,6525;1132,87;;
ME-MIN/TI/1H;849,6525;1132,87;;
DP-MINR56/57;794,7975;1059,73;;
TP-MINR56/57-CA;436,14;581,52;;
TP-MINR56/57-CA;436,14;581,52;;
DP-MINR56/57;794,7975;1059,73;;
ME-MIN/TI/1H;849,6525;1132,87;;
E-BM/SS/6;250,26;333,68;;
S-BM/T/15H;2686,425;3581,9;;
P-HF1312;315,4125;420,55;;
P-HF1312;315,4125;420,55;;
S-BM/T/15H;2686,425;3581,9;;
E-BM/SS/6;250,26;333,68;;
E-BM/SS/6;250,26;333,68;;
S-BM/T/15H;2686,425;3581,9;;
P-HF1312;315,4125;420,55;;
P-HF1312;315,4125;420,55;;
S-BM/T/15H;2686,425;3581,9;;
E-BM/SS/6;250,26;333,68;;
ME-MIN/TI/1H;849,6525;1132,87;;
DP-MINR56/57;794,7975;1059,73;;
TP-MINR56/57-CA;436,14;581,52;;
TP-NIZ34-C;548,055;730,74;;
M-NIZ34H;896,9325;1195,91;;
M-NI/T/1H;2577,105;3436,14;;
ME-NI/T/1;4287,5625;5716,75;;
TP-NIR35C;1107,0825;1476,11;;
DP/L-NI/SS/1;2580,8475;3441,13;;
L-NI/SS/4;1026,9825;1369,31;;
S-NI/TI/1;5364,6525;7152,87;;
S-PO/TI/18;4172,5125;5563,35;;
L-PO/T/13;1384,1925;1845,59;;
DI-PO/CA/8/M;1474,005;1965,34;;
TP-T/S/27;696,5625;928,75;;
TP-T/S/28;696,5625;928,75;;
DI-PO/CA/8/G;1566,7125;2088,95;;
P-HF1293;418,815;558,42;;
S-PO/TI/18/1;4172,5125;5563,35;;
L-PO/T/13/1;1384,1925;1845,59;;
S-PO/TI/18;4172,5125;5563,35;;
L-PO/T/13;1384,1925;1845,59;;
DI-PO/CA/8/M;1474,005;1965,34;;
TP-T/S/28;696,5625;928,75;;
TP-T/S/27;696,5625;928,75;;
L-PO/T/13/1;1384,1925;1845,59;;
S-PO/TI/18/1;4172,5125;5563,35;;
P-HF1293;418,815;558,42;;
DI-PO/CA/8/G;1566,7125;2088,95;;
DI-PO/CA/10/G;2662,5;3550;;
DI-PO/CA/10/M;2527,5;3370;;
P-HF1496;418,815;558,42;;
S-PO/TI/24;5077,5;6770;;
L-PO/T/17;3097,5;4130;;
E-PO/T/8;4185;5580;;
L-PO/T/13;1384,1925;1845,59;;
S-PO/TI/18;4172,5125;5563,35;;
S-PO/TI/18/1;4172,5125;5563,35;;
TP-T/S/27;696,5625;928,75;;
TP-T/S/28;696,5625;928,75;;
P-HF1293;418,815;558,42;;
L-PO/T/13/1;1384,1925;1845,59;;
DI-PO/CA/8/G/1;1433,3025;1911,07;;
DI-PO/CA/8/M/1;1344;1792;;
L-PO/T/13;1384,1925;1845,59;;
S-PO/TI/18;4172,5125;5563,35;;
S-PO/TI/18/1;4172,5125;5563,35;;
TP-T/S/28;696,5625;928,75;;
TP-T/S/27;696,5625;928,75;;
DI-PO/CA/8/M/1;1344;1792;;
DI-PO/CA/8/G/1;1433,3025;1911,07;;
L-PO/T/13/1;1384,1925;1845,59;;
P-HF1293;418,815;558,42;;
P-HF1065;640,125;853,5;;
S-PO/TI/5H;4176,5025;5568,67;;
DI-PO/CA/3/G;1152,0075;1536,01;;
S-PO/TI/5H;4176,5025;5568,67;;
L-PO/SS/1H;2781,135;3708,18;;
DI-PO/CA/3;1009,125;1345,5;;
P-HF874;403,455;537,94;;
S-PO991SO-HT/1;7135,29;9513,72;;
P-HF870;527,1675;702,89;;
L-PO/SS/3;3110,235;4146,98;;
S-PO/TI/14;3439,935;4586,58;;
S-PO/TI/14;3439,935;4586,58;;
L-PO/SS/3;3110,235;4146,98;;
P-HF874;403,455;537,94;;
S-PO991SO-HT/1;7135,29;9513,72;;
S-PO/TI/5H;4176,5025;5568,67;;
P-HF1065;640,125;853,5;;
DI-PO/CA/3/G;1152,0075;1536,01;;
DI-PO/CA/3;1009,125;1345,5;;
L-PO/SS/1H;2781,135;3708,18;;
S-PO/TI/5H;4176,5025;5568,67;;
P-HF870;527,1675;702,89;;
TP-PO991GT3/BOX;1243,365;1657,82;;
MTP-PO997GT3H/1;3227,58;4303,44;;
TP-PO997GT3H;894,3675;1192,49;;
DI-PO/CA/1;1266,1275;1688,17;;
TP-T/S/19;901,9575;1202,61;;
S-PO/TI/8;1768,1925;2357,59;;
E-PO/T/4;6646,9575;8862,61;;
E-PO/T/5;4616,91;6155,88;;
L-PO997GT3CSET;847,755;1130,34;;
TP-T/S/17/H;901,9575;1202,61;;
S-PO/TI/10H;3295,2675;4393,69;;
S-PO/TI/8;1768,1925;2357,59;;
DI-PO/CA/6/M;1330,6125;1774,15;;
DI-PO/CA/6/G;1419,915;1893,22;;
E-PO/T/4;6646,9575;8862,61;;
E-PO/T/5;4616,91;6155,88;;
L-PO997GT3CSET;847,755;1130,34;;
TP-T/S/17;901,9575;1202,61;;
TP-PO991GT3/BOX;1243,365;1657,82;;
DI-PO/CA/9/G;1173,75;1565;;
DI-PO/CA/9/M;1046,25;1395;;
E-PO/T/7;6326,25;8435;;
P-CP034;1106,25;1475;;
S-PO/TI/23;2988,75;3985;;
TP-PO991GT3/BOX;1243,365;1657,82;;
TP-PO991RS/H/T;894,3675;1192,49;;
MTP-PO997GT3H/1;3227,58;4303,44;;
L-PO997GT3CSET;847,755;1130,34;;
E-PO/T/5;4616,91;6155,88;;
E-PO/T/4;6646,9575;8862,61;;
S-PO/TI/10H;3295,2675;4393,69;;
TP-T/S/19/H;901,9575;1202,61;;
TP-T/S/19;901,9575;1202,61;;
