Reference;Price;Purchase
AC-452-RAD;270,723577;162,4341462
AC-45S-DP;406,495935;243,897561
AC-KC-MB-01-BK;16,25;9,75
AC-KC-MB-01-RD;16,25;9,75
AC-KC-MB3B-BK;16,25;9,75
AC-KC-MB3B-RD;16,25;9,75
AC-W204-DP;406,495935;243,897561
AC-W204-EXMDP;674,788618;404,8731708
AC-W205-DP;487,796748;292,6780488
AC-W205-DPHS;569,096748;341,4580488
AC-W205-MP;427,634146;256,5804876
AC-W205-RAD;878,04065;526,82439
AC-B48-BT;32,512195;19,507317
AC-F56-DP;219,504065;131,702439
AC-N14-IND-BK;65,03252;39,019512
AC-N14-IND-BL;65,03252;39,019512
AC-N14-IND-RD;65,03252;39,019512
AC-R56-DP;121,943089;73,1658534
AC-R56-IC;317,065041;190,2390246
AC-SIL-QS;48,77;29,262
AC-WS-NI-15;56,902439;34,1414634
AC-WS-NI-20;60,972439;36,5834634
AC-Z33-CP-6;113,813008;68,2878048
AC-Z33-DP;136,58;81,948
AC-Z33-EM;280,479675;168,287805
AC-Z33-FU;81,292683;48,7756098
AC-Z33-HHL;105,682927;63,4097562
AC-Z33-RL;56,9;34,14
AC-Z33-YP;162,59;97,554
AC-MK8-DP;349,585366;209,7512196
AC-MK8-MD;81,292683;48,7756098
AC-BRZ-BK;36,58;21,948
AC-FA20-OSA;23,569106;14,1414636
AC-GR-FU;97,55;58,53
AC-WS-SB-15;65,03252;39,019512
AC-WS-SB-20;69,10252;41,461512
AC-WS-SU-15;65,03252;39,019512
AC-WS-SU-20;69,10252;41,461512
AC-OPC-DP;105,682927;63,4097562
AC-VR6-CH-BK;154,463415;92,678049
AC-VR6-CH-RD;154,463415;92,678049
AC-CEL-FIX;34,95122;20,970732
AC-CEL-FIX-S;34,95122;20,970732
